gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_Binary,tenure_group,Risk_Segment,Churn_Probability,Predicted_Churn,Risk_Level,Revenue_At_Risk
Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,0,12–24 months,Medium Risk,0.017105633938334423,0,Low Risk,4.1053521452002615
Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,0,48+ months,Low Risk,0.22091169289873594,0,Low Risk,53.01880629569663
Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,1,48+ months,Medium Risk,0.5068917064108007,1,Medium Risk,121.65400953859218
Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,0,24–48 months,Medium Risk,0.4510738890691704,0,Medium Risk,108.2577333766009
Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,0,48+ months,Low Risk,0.03247785684751767,0,Low Risk,7.7946856434042395
Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,0,48+ months,Low Risk,0.018269041156523294,0,Low Risk,4.384569877565591
Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,0,48+ months,Low Risk,0.040788204724946917,0,Low Risk,9.78916913398726
Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,1,0–12 months,High Risk,0.1944663061738426,0,Low Risk,46.67191348172223
Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,0,12–24 months,Medium Risk,0.4665542282007034,0,Medium Risk,111.97301476816882
Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,1,0–12 months,High Risk,0.768210603005865,1,High Risk,184.37054472140758
Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,0,0–12 months,Medium Risk,0.07610478244333738,0,Low Risk,18.26514778640097
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,1,0–12 months,High Risk,0.2054432498267644,0,Low Risk,49.306379958423456
Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,0,48+ months,Low Risk,0.020326862882217286,0,Low Risk,4.8784470917321485
Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,0,48+ months,Medium Risk,0.04116667529833418,0,Low Risk,9.880002071600202
Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,0,24–48 months,Medium Risk,0.11264695026232721,0,Low Risk,27.03526806295853
Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,1,24–48 months,Medium Risk,0.41932139042950095,0,Medium Risk,100.63713370308022
Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,1,0–12 months,High Risk,0.5291521777497508,1,Medium Risk,126.99652265994018
Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,0,48+ months,Low Risk,0.014898287775995216,0,Low Risk,3.5755890662388516
Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,1,12–24 months,Medium Risk,0.2818247570716775,0,Low Risk,67.63794169720259
Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,0,48+ months,Low Risk,0.027031657831048782,0,Low Risk,6.487597879451708
Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,0,0–12 months,High Risk,0.7753144482372725,1,High Risk,186.07546757694539
Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,0,24–48 months,Low Risk,0.03386763971812729,0,Low Risk,8.12823353235055
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,0,0–12 months,High Risk,0.2136636541921394,0,Low Risk,51.27927700611345
Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,0,0–12 months,High Risk,0.40890709635447403,0,Medium Risk,98.13770312507377
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,0,48+ months,Low Risk,0.01969994131676433,0,Low Risk,4.727985916023439
Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,1,0–12 months,High Risk,0.6780728248747583,1,Medium Risk,162.73747796994198
Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,0,24–48 months,Medium Risk,0.20865550523379778,0,Low Risk,50.07732125611147
Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,1,24–48 months,Medium Risk,0.5661462591101424,1,Medium Risk,135.87510218643416
Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,1,0–12 months,High Risk,0.7504745493739677,1,High Risk,180.11389184975226
Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,0,0–12 months,Medium Risk,0.12402464793934466,0,Low Risk,29.765915505442717
Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,0,48+ months,Low Risk,0.012772496674303427,0,Low Risk,3.0653992018328227
Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,0,12–24 months,Medium Risk,0.03621182573814516,0,Low Risk,8.690838177154838
Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,0,48+ months,Low Risk,0.014366790368808469,0,Low Risk,3.4480296885140325
Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,0,12–24 months,Medium Risk,0.24445008341144925,0,Low Risk,58.66802001874782
Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,0,48+ months,Medium Risk,0.543067583718637,1,Medium Risk,130.33622009247287
Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,No,0,0–12 months,High Risk,0.310385106719737,0,Medium Risk,74.49242561273688
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,1,0–12 months,High Risk,0.7541978541523496,1,High Risk,181.0074849965639
Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,0,48+ months,Low Risk,0.03697797283258619,0,Low Risk,8.874713479820686
Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,0,48+ months,Low Risk,0.008620963304776632,0,Low Risk,2.0690311931463916
Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,0,24–48 months,Medium Risk,0.4343612947414319,0,Medium Risk,104.24671073794366
Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,1,12–24 months,Medium Risk,0.3956565454152148,0,Medium Risk,94.95757089965154
Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,0,24–48 months,Medium Risk,0.22486329011073278,0,Low Risk,53.967189626575866
Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,1,0–12 months,High Risk,0.6490535244449804,1,Medium Risk,155.7728458667953
Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,0,48+ months,Low Risk,0.03303579201893972,0,Low Risk,7.928590084545533
Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,1,12–24 months,Medium Risk,0.6937059799793435,1,Medium Risk,166.48943519504243
Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,0,48+ months,Low Risk,0.16773149754229236,0,Low Risk,40.25555941015016
Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,0,48+ months,Low Risk,0.22319471220161535,0,Low Risk,53.566730928387685
Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,0,24–48 months,Low Risk,0.013560238719584288,0,Low Risk,3.2544572927002293
Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,0,48+ months,Low Risk,0.06709250061031202,0,Low Risk,16.102200146474885
Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,0,24–48 months,Medium Risk,0.5044230415846268,1,Medium Risk,121.06152998031044
Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,0,48+ months,Medium Risk,0.29969072564295923,0,Low Risk,71.92577415431022
Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,No,0,48+ months,Low Risk,0.007857331854104616,0,Low Risk,1.8857596449851077
Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,0,12–24 months,Medium Risk,0.07611282882428598,0,Low Risk,18.267078917828634
Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,1,0–12 months,High Risk,0.7526238570199152,1,High Risk,180.62972568477966
Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,0,0–12 months,High Risk,0.5148937719865531,1,Medium Risk,123.57450527677274
Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,0,24–48 months,Low Risk,0.17936621959860885,0,Low Risk,43.04789270366612
Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,0,24–48 months,Low Risk,0.03555956739296164,0,Low Risk,8.534296174310795
Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,No,0,48+ months,Low Risk,0.008505674400267154,0,Low Risk,2.041361856064117
Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,0,0–12 months,High Risk,0.4457866142700849,0,Medium Risk,106.98878742482039
Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,0,0–12 months,High Risk,0.2892477083985166,0,Low Risk,69.41945001564399
Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,No,0,48+ months,Low Risk,0.03362237871137903,0,Low Risk,8.069370890730967
Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,No,0,48+ months,Low Risk,0.07126081941200225,0,Low Risk,17.10259665888054
Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,0,48+ months,Low Risk,0.008555254994450971,0,Low Risk,2.053261198668233
Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,0,0–12 months,High Risk,0.30656069175965983,0,Medium Risk,73.57456602231836
Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,0,48+ months,Low Risk,0.24031873448688731,0,Low Risk,57.67649627685296
Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,0,24–48 months,Low Risk,0.047493574373569526,0,Low Risk,11.398457849656687
Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,0,0–12 months,High Risk,0.17808970808886004,0,Low Risk,42.74152994132641
Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,0,24–48 months,Medium Risk,0.26193650777043603,0,Low Risk,62.86476186490465
Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,No,0,24–48 months,Low Risk,0.024610296624123444,0,Low Risk,5.9064711897896265
Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,1,0–12 months,High Risk,0.7395813982860295,1,High Risk,177.4995355886471
Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,0,0–12 months,High Risk,0.48949396655110494,0,Medium Risk,117.47855197226518
Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,1,0–12 months,High Risk,0.6125620662084449,1,Medium Risk,147.01489589002676
Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,0,24–48 months,Medium Risk,0.28793769758206,0,Low Risk,69.1050474196944
Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,0,48+ months,Low Risk,0.014650743576843542,0,Low Risk,3.5161784584424502
Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,0,0–12 months,High Risk,0.7021506442507159,1,High Risk,168.51615462017182
Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,0,24–48 months,Low Risk,0.07586223805316031,0,Low Risk,18.206937132758473
Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,No,0,24–48 months,Low Risk,0.005105210758449119,0,Low Risk,1.2252505820277886
Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,No,0,24–48 months,Low Risk,0.0075634769427649125,0,Low Risk,1.815234466263579
Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No,0,24–48 months,Medium Risk,0.2663850343817947,0,Low Risk,63.93240825163073
Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,0,24–48 months,Medium Risk,0.2330975460219889,0,Low Risk,55.94341104527734
Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,No,0,0–12 months,High Risk,0.6043326915597671,1,Medium Risk,145.0398459743441
Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,No,0,48+ months,Low Risk,0.020516740693944973,0,Low Risk,4.924017766546793
Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,No,0,48+ months,Medium Risk,0.25937470205238705,0,Low Risk,62.24992849257289
Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,0,48+ months,Low Risk,0.08441654477323716,0,Low Risk,20.25997074557692
Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,1,0–12 months,Medium Risk,0.5949948927054687,1,Medium Risk,142.7987742493125
Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,No,0,48+ months,Low Risk,0.014717539915254938,0,Low Risk,3.532209579661185
Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,1,0–12 months,High Risk,0.1709613262638927,0,Low Risk,41.030718303334254
Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,No,0,48+ months,Low Risk,0.007971098511374746,0,Low Risk,1.913063642729939
Female,1,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,1,24–48 months,Medium Risk,0.658005490257577,1,Medium Risk,157.92131766181848
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,No,0,0–12 months,High Risk,0.20529772987858036,0,Low Risk,49.271455170859284
Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,No,0,0–12 months,High Risk,0.264079446539141,0,Low Risk,63.37906716939384
Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,No,0,24–48 months,Low Risk,0.15414943341421558,0,Low Risk,36.99586401941174
Female,1,Yes,No,66,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,No,0,48+ months,Low Risk,0.058017917563072334,0,Low Risk,13.924300215137361
Male,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes,1,48+ months,Low Risk,0.07725957374651436,0,Low Risk,18.54229769916345
Male,0,No,No,5,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2,No,0,0–12 months,High Risk,0.4578725260579765,0,Medium Risk,109.88940625391436
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,7303.05,No,0,48+ months,Low Risk,0.14761313940206822,0,Low Risk,35.42715345649637
Female,0,No,No,32,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,30.15,927.65,No,0,24–48 months,Low Risk,0.07351693265613862,0,Low Risk,17.64406383747327
Male,0,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.35,3921.3,No,0,24–48 months,Low Risk,0.20900071646104426,0,Low Risk,50.16017195065062
Male,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,1363.25,No,0,48+ months,Low Risk,0.0023853930217136443,0,Low Risk,0.5724943252112746
Male,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,Yes,1,48+ months,Medium Risk,0.3373882746200981,0,Medium Risk,80.97318590882355
Female,0,No,No,52,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),57.95,3042.25,No,0,48+ months,Low Risk,0.025308015322989912,0,Low Risk,6.073923677517579
Female,0,No,No,43,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.65,3954.1,No,0,24–48 months,Medium Risk,0.32400667313502474,0,Medium Risk,77.76160155240593
Female,1,Yes,No,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,Yes,1,24–48 months,Medium Risk,0.4873796131319694,0,Medium Risk,116.97110715167267
Female,0,Yes,Yes,64,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,54.6,3423.5,No,0,48+ months,Low Risk,0.04101784567173916,0,Low Risk,9.844282961217399
Male,0,Yes,Yes,3,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,89.85,248.4,No,0,0–12 months,High Risk,0.5094948171941746,1,Medium Risk,122.27875612660189
Female,0,No,No,36,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),31.05,1126.35,No,0,24–48 months,Low Risk,0.02803190352544753,0,Low Risk,6.727656846107407
Female,0,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,Yes,1,0–12 months,High Risk,0.7156987144601955,1,High Risk,171.76769147044692
Female,0,No,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.65,835.15,No,0,24–48 months,Low Risk,0.00751441250303229,0,Low Risk,1.8034590007277496
Male,0,Yes,Yes,27,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),85.2,2151.6,No,0,24–48 months,Medium Risk,0.3039191160948376,0,Medium Risk,72.94058786276103
Female,0,Yes,Yes,56,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),99.8,5515.45,No,0,48+ months,Low Risk,0.2839839535533761,0,Low Risk,68.15614885281026
Female,0,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.7,112.75,No,0,0–12 months,High Risk,0.1702231607649473,0,Low Risk,40.85355858358736
Male,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,229.55,Yes,1,0–12 months,High Risk,0.7580306408142419,1,High Risk,181.92735379541804
